Concatenate,Year,Pasture Name,Pasture,Treatment,Herd,Week,Date,Rotation,Crude Protein (%),DOM(%),DOM/CP,Fecal Nitrogen (%),Fecal Phosphorus (%),Tag #'s,Notes,Ecological Site,Julian Day,Precip(mm),HerdTreat,WOY,DOY,Phase
2016_15E_TGM_TRM_1,2016,NA,15E,TRM,TRM,1,2016-05-20T00:00:00Z,1,12.44,67.91,5.5,2.16,0.2,NA,NA,Loamy,NA,NA,NA,20,140,1-early
2016_19N_TGM_TRM_1,2016,NA,19N,TRM,TRM,1,2016-05-20T00:00:00Z,1,11.38,67.53,5.9,2.32,0.31,NA,NA,Sandy,NA,NA,NA,20,140,1-early
2016_5E_TGM_Paired TRM_1,2016,NA,5E,TRM,Paired TRM,1,2016-05-20T00:00:00Z,1,10.9,65.35,6,1.78,0.18,NA,NA,Mixed,NA,NA,NA,20,140,1-early
2016_7NW_TGM_TRM_1,2016,NA,7NW,TRM,TRM,1,2016-05-20T00:00:00Z,1,12.91,68.7,5.3,2.27,0.19,NA,MOVED FROM 25NW -> 26W 8/12/16,Mixed,NA,NA,NA,20,140,1-early
2016_8E_AGM_CARM_1,2016,Ridgeline,8E,CARM,CARM,1,2016-05-20T00:00:00Z,1,7.22,65.07,9,1.89,0.05,NA,NA,Mixed,NA,NA,NA,20,140,1-early
2016_15E_TGM_TRM_2,2016,NA,15E,TRM,TRM,2,2016-05-27T00:00:00Z,1,14.84,67.39,4.5,2.5,0.52,NA,NA,Loamy,NA,NA,NA,21,147,1-early
2016_19N_TGM_TRM_2,2016,NA,19N,TRM,TRM,2,2016-05-27T00:00:00Z,1,11.88,67.22,5.7,2.26,0.4,NA,NA,Sandy,NA,NA,NA,21,147,1-early
2016_5E_TGM_Paired TRM_2,2016,NA,5E,TRM,Paired TRM,2,2016-05-27T00:00:00Z,1,12.62,68.2,5.4,2.37,0.37,NA,NA,Mixed,NA,NA,NA,21,147,1-early
2016_7NW_TGM_TRM_2,2016,NA,7NW,TRM,TRM,2,2016-05-27T00:00:00Z,1,11.98,66.96,5.6,2.32,0.28,NA,NA,Mixed,NA,NA,NA,21,147,1-early
2016_8E_AGM_CARM_2,2016,Ridgeline,8E,CARM,CARM,2,2016-05-27T00:00:00Z,1,7.78,66.27,8.5,1.64,0.1,NA,NA,Mixed,NA,NA,NA,21,147,1-early
2016_15E_TGM_TRM_3,2016,NA,15E,TRM,TRM,3,2016-06-03T00:00:00Z,1,12.84,67.76,5.3,2.48,0.37,NA,NA,Loamy,NA,NA,NA,22,154,1-early
2016_19N_TGM_TRM_3,2016,NA,19N,TRM,TRM,3,2016-06-03T00:00:00Z,1,10.75,66.49,6.2,2.2,0.34,NA,NA,Sandy,NA,NA,NA,22,154,1-early
2016_5E_TGM_Paired TRM_3,2016,NA,5E,TRM,Paired TRM,3,2016-06-03T00:00:00Z,1,11.97,67.75,5.7,2.4,0.37,NA,NA,Mixed,NA,NA,NA,22,154,1-early
2016_7NW_TGM_TRM_3,2016,NA,7NW,TRM,TRM,3,2016-06-03T00:00:00Z,1,11.65,66.9,5.7,2.15,0.42,NA,NA,Mixed,NA,NA,NA,22,154,1-early
2016_8E_AGM_CARM_3,2016,Ridgeline,8E,CARM,CARM,3,2016-06-03T00:00:00Z,1,7.57,66.25,8.8,1.66,0.03,NA,NA,Mixed,NA,NA,NA,22,154,1-early
2016_15E_TGM_TRM_4,2016,NA,15E,TRM,TRM,4,2016-06-07T00:00:00Z,1,11.82,68.27,5.8,2.34,0.19,NA,NA,Loamy,NA,NA,NA,23,158,1-early
2016_19N_TGM_TRM_4,2016,NA,19N,TRM,TRM,4,2016-06-07T00:00:00Z,1,11.41,67.66,5.9,2.18,0.3,NA,NA,Sandy,NA,NA,NA,23,158,1-early
2016_5E_TGM_Paired TRM_4,2016,NA,5E,TRM,Paired TRM,4,2016-06-07T00:00:00Z,1,10.74,68.12,6.3,2.05,0.2,NA,NA,Mixed,NA,NA,NA,23,158,1-early
2016_7NW_TGM_TRM_4,2016,NA,7NW,TRM,TRM,4,2016-06-07T00:00:00Z,1,10.45,66.92,6.4,1.96,0.35,NA,NA,Mixed,NA,NA,NA,23,158,1-early
2016_8E_AGM_CARM_4,2016,Ridgeline,8E,CARM,CARM,4,2016-06-07T00:00:00Z,1,7.05,65.81,9.3,1.57,0.01,NA,NA,Mixed,NA,NA,NA,23,158,1-early
2016_15E_TGM_TRM_5,2016,NA,15E,TRM,TRM,5,2016-06-14T00:00:00Z,2,8.94,64.36,7.2,2.01,0.14,NA,NA,Loamy,NA,NA,NA,24,165,1-early
2016_19N_TGM_TRM_5,2016,NA,19N,TRM,TRM,5,2016-06-14T00:00:00Z,2,8.27,66.52,8,2.02,0.17,NA,NA,Sandy,NA,NA,NA,24,165,1-early
2016_20NW_AGM_CARM_5,2016,Elm,20NW,CARM,CARM,5,2016-06-14T00:00:00Z,2,7.1,65.16,9.2,1.74,0.02,NA,NA,Sandy,NA,NA,NA,24,165,1-early
2016_20SE_TGM_Paired TRM_5,2016,NA,20SE,TRM,Paired TRM,5,2016-06-14T00:00:00Z,2,11.47,69.91,6.1,2.15,0.34,NA,NA,Sandy,NA,NA,NA,24,165,1-early
2016_7NW_TGM_TRM_5,2016,NA,7NW,TRM,TRM,5,2016-06-14T00:00:00Z,2,9.57,67.26,7,2.05,0.24,NA,NA,Mixed,NA,NA,NA,24,165,1-early
2016_15E_TGM_TRM_6,2016,NA,15E,TRM,TRM,6,2016-06-22T00:00:00Z,2,9,63.27,7,1.89,0.19,NA,NA,Loamy,NA,NA,NA,25,173,1-early
2016_19N_TGM_TRM_6,2016,NA,19N,TRM,TRM,6,2016-06-22T00:00:00Z,2,8.76,64.5,7.4,2.22,0.23,NA,NA,Sandy,NA,NA,NA,25,173,1-early
2016_20NW_AGM_CARM_6,2016,Elm,20NW,CARM,CARM,6,2016-06-22T00:00:00Z,2,7.22,64.81,9,1.5,0.01,NA,NA,Sandy,NA,NA,NA,25,173,1-early
2016_20SE_TGM_Paired TRM_6,2016,NA,20SE,TRM,Paired TRM,6,2016-06-22T00:00:00Z,2,9.85,66.31,6.7,1.72,0.13,NA,NA,Sandy,NA,NA,NA,25,173,1-early
2016_7NW_TGM_TRM_6,2016,NA,7NW,TRM,TRM,6,2016-06-22T00:00:00Z,2,9.49,67,7.1,1.96,0.13,NA,NA,Mixed,NA,NA,NA,25,173,1-early
2016_15E_TGM_TRM_7,2016,NA,15E,TRM,TRM,7,2016-07-01T00:00:00Z,2,9.75,65.71,6.7,1.75,0.01,NA,NA,Loamy,NA,NA,NA,26,182,2-middle
2016_19N_TGM_TRM_7,2016,NA,19N,TRM,TRM,7,2016-07-01T00:00:00Z,2,8.56,64.98,7.6,2.22,0.11,NA,NA,Sandy,NA,NA,NA,26,182,2-middle
2016_20NW_AGM_CARM_7,2016,Elm,20NW,CARM,CARM,7,2016-07-01T00:00:00Z,2,5.58,62.67,11.2,1.53,0.09,NA,NA,Sandy,NA,NA,NA,26,182,2-middle
2016_20SE_TGM_Paired TRM_7,2016,NA,20SE,TRM,Paired TRM,7,2016-07-01T00:00:00Z,2,7.89,67.23,8.5,1.67,0.07,NA,NA,Sandy,NA,NA,NA,26,182,2-middle
2016_7NW_TGM_TRM_7,2016,NA,7NW,TRM,TRM,7,2016-07-01T00:00:00Z,2,7.2,67.43,9.4,1.43,0.02,NA,NA,Mixed,NA,NA,NA,26,182,2-middle
2016_15E_TGM_TRM_8,2016,NA,15E,TRM,TRM,8,2016-07-08T00:00:00Z,3,9.83,62.37,6.3,1.77,0.28,NA,NA,Loamy,NA,NA,NA,27,189,2-middle
2016_19N_TGM_TRM_8,2016,NA,19N,TRM,TRM,8,2016-07-08T00:00:00Z,3,8.97,63.91,7.1,1.93,0.31,NA,NA,Sandy,NA,NA,NA,27,189,2-middle
2016_31E_TGM_Paired TRM_8,2016,NA,31E,TRM,Paired TRM,8,2016-07-08T00:00:00Z,3,8.89,66.05,7.4,1.48,0.02,NA,NA,Mixed,NA,NA,NA,27,189,2-middle
2016_31W_AGM_CARM_8,2016,South,31W,CARM,CARM,8,2016-07-08T00:00:00Z,3,7.46,65.42,8.8,1.54,0.02,NA,NA,Mixed,NA,NA,NA,27,189,2-middle
2016_7NW_TGM_TRM_8,2016,NA,7NW,TRM,TRM,8,2016-07-08T00:00:00Z,3,9.44,65.89,7,1.61,0.07,NA,NA,Mixed,NA,NA,NA,27,189,2-middle
2016_15E_TGM_TRM_9,2016,NA,15E,TRM,TRM,9,2016-07-14T00:00:00Z,3,9.02,62.65,6.9,1.83,0.1,NA,NA,Loamy,NA,NA,NA,28,195,2-middle
2016_19N_TGM_TRM_9,2016,NA,19N,TRM,TRM,9,2016-07-14T00:00:00Z,3,7.48,62.57,8.4,1.81,0.1,NA,NA,Sandy,NA,NA,NA,28,195,2-middle
2016_31E_TGM_Paired TRM_9,2016,NA,31E,TRM,Paired TRM,9,2016-07-14T00:00:00Z,3,8.77,65.79,7.5,1.71,0.01,NA,NA,Mixed,NA,NA,NA,28,195,2-middle
2016_31W_AGM_CARM_9,2016,South,31W,CARM,CARM,9,2016-07-14T00:00:00Z,3,6.42,63.2,9.8,1.52,0.06,NA,NA,Mixed,NA,NA,NA,28,195,2-middle
2016_7NW_TGM_TRM_9,2016,NA,7NW,TRM,TRM,9,2016-07-14T00:00:00Z,3,8.6,66.56,7.7,1.43,0.01,NA,NA,Mixed,NA,NA,NA,28,195,2-middle
2016_15E_TGM_TRM_10,2016,NA,15E,TRM,TRM,10,2016-07-25T00:00:00Z,3,5.63,60.71,10.8,1.76,0.05,NA,NA,Loamy,NA,NA,NA,30,206,2-middle
2016_19N_TGM_TRM_10,2016,NA,19N,TRM,TRM,10,2016-07-25T00:00:00Z,3,6.75,62.62,9.3,1.56,0.07,NA,MOVED 6/30/16 FROM 20NW -> 31W,Sandy,NA,NA,NA,30,206,2-middle
2016_31E_TGM_Paired TRM_10,2016,NA,31E,TRM,Paired TRM,10,2016-07-25T00:00:00Z,3,7.71,64.04,8.3,1.72,0.1,NA,NA,Mixed,NA,NA,NA,30,206,2-middle
2016_31W_AGM_CARM_10,2016,South,31W,CARM,CARM,10,2016-07-25T00:00:00Z,3,7.53,61.98,8.2,1.33,0.15,NA,NA,Mixed,NA,NA,NA,30,206,2-middle
2016_7NW_TGM_TRM_10,2016,NA,7NW,TRM,TRM,10,2016-07-25T00:00:00Z,3,5.3,64.15,12.1,1.37,0.01,NA,NA,Mixed,NA,NA,NA,30,206,2-middle
2016_15E_TGM_TRM_11,2016,NA,15E,TRM,TRM,11,2016-08-01T00:00:00Z,4,6.78,62.93,9.3,1.48,0.05,NA,NA,Loamy,NA,NA,NA,31,213,2-middle
2016_19N_TGM_TRM_11,2016,NA,19N,TRM,TRM,11,2016-08-01T00:00:00Z,4,5.55,62.92,11.3,1.3,0.13,NA,NA,Sandy,NA,NA,NA,31,213,2-middle
2016_25NW_AGM_CARM_11,2016,Crossroads,25NW,CARM,CARM,11,2016-08-01T00:00:00Z,4,6.08,60.51,10,1.34,0.13,NA,NA,Mixed,NA,NA,NA,31,213,2-middle
2016_25SE_TGM_Paired TRM_11,2016,NA,25SE,TRM,Paired TRM,11,2016-08-01T00:00:00Z,4,7.79,63.16,8.1,1.38,0.08,NA,NA,Mixed,NA,NA,NA,31,213,2-middle
2016_7NW_TGM_TRM_11,2016,NA,7NW,TRM,TRM,11,2016-08-01T00:00:00Z,4,4.95,64.31,13,1.31,0.06,NA,NA,Mixed,NA,NA,NA,31,213,2-middle
2016_15E_TGM_TRM_12,2016,NA,15E,TRM,TRM,12,2016-08-08T00:00:00Z,4,6.88,61.22,8.9,1.31,0.01,NA,NA,Loamy,NA,NA,NA,32,220,2-middle
2016_19N_TGM_TRM_12,2016,NA,19N,TRM,TRM,12,2016-08-08T00:00:00Z,4,6.76,62.09,9.2,1.41,0.14,NA,NA,Sandy,NA,NA,NA,32,220,2-middle
2016_25NW_AGM_CARM_12,2016,Crossroads,25NW,CARM,CARM,12,2016-08-08T00:00:00Z,4,7.31,58.86,8.1,1.29,0.19,NA,NA,Mixed,NA,NA,NA,32,220,2-middle
2016_25SE_TGM_Paired TRM_12,2016,NA,25SE,TRM,Paired TRM,12,2016-08-08T00:00:00Z,4,7.79,62.8,8.1,1.54,0.08,NA,NA,Mixed,NA,NA,NA,32,220,2-middle
2016_7NW_TGM_TRM_12,2016,NA,7NW,TRM,TRM,12,2016-08-08T00:00:00Z,4,6.57,64.27,9.8,1.33,0.08,NA,NA,Mixed,NA,NA,NA,32,220,2-middle
2016_15E_TGM_TRM_13,2016,NA,15E,TRM,TRM,13,2016-08-18T00:00:00Z,5,7.02,59.15,8.4,1.47,0.1,NA,NA,Loamy,NA,NA,NA,33,230,3-late
2016_19N_TGM_TRM_13,2016,NA,19N,TRM,TRM,13,2016-08-18T00:00:00Z,5,5.67,61.09,10.8,1.52,0.12,NA,NA,Sandy,NA,NA,NA,33,230,3-late
2016_26E_TGM_Paired TRM_13,2016,NA,26E,TRM,Paired TRM,13,2016-08-18T00:00:00Z,5,7.52,59.05,7.9,1.56,0.13,NA,NA,Loamy,NA,NA,NA,33,230,3-late
2016_26W_AGM_CARM_13,2016,Hilltank,26W,CARM,CARM,13,2016-08-18T00:00:00Z,5,6.63,58.71,8.9,1.34,0.17,NA,NA,Loamy,NA,NA,NA,33,230,3-late
2016_7NW_TGM_TRM_13,2016,NA,7NW,TRM,TRM,13,2016-08-18T00:00:00Z,5,5.27,63.47,12,1.27,0.02,NA,NA,Mixed,NA,NA,NA,33,230,3-late
2016_15E_TGM_TRM_14,2016,NA,15E,TRM,TRM,14,2016-08-24T00:00:00Z,5,7.16,61.15,8.5,1.52,0.05,NA,NA,Loamy,NA,NA,NA,34,236,3-late
2016_19N_TGM_TRM_14,2016,NA,19N,TRM,TRM,14,2016-08-24T00:00:00Z,5,4.93,61.81,12.5,1.4,0.01,NA,NA,Sandy,NA,NA,NA,34,236,3-late
2016_26E_TGM_Paired TRM_14,2016,NA,26E,TRM,Paired TRM,14,2016-08-24T00:00:00Z,5,6.99,59.31,8.5,1.49,0.1,NA,MOVED 7/25/16 FROM 31W -> 25NW,Loamy,NA,NA,NA,34,236,3-late
2016_26W_AGM_CARM_14,2016,Hilltank,26W,CARM,CARM,14,2016-08-24T00:00:00Z,5,6.49,56.03,8.6,1.29,0.17,NA,NA,Loamy,NA,NA,NA,34,236,3-late
2016_7NW_TGM_TRM_14,2016,NA,7NW,TRM,TRM,14,2016-08-24T00:00:00Z,5,6.29,63.47,10.1,1.23,0.01,NA,NA,Mixed,NA,NA,NA,34,236,3-late
2016_15E_TGM_TRM_15,2016,NA,15E,TRM,TRM,15,2016-09-01T00:00:00Z,5,5.76,62.82,10.9,1.6,0.08,NA,NA,Loamy,NA,NA,NA,35,244,3-late
2016_19N_TGM_TRM_15,2016,NA,19N,TRM,TRM,15,2016-09-01T00:00:00Z,5,5.31,61.76,11.6,1.66,0.1,NA,NA,Sandy,NA,NA,NA,35,244,3-late
2016_26E_TGM_Paired TRM_15,2016,NA,26E,TRM,Paired TRM,15,2016-09-01T00:00:00Z,5,6.86,59.42,8.7,1.41,0.11,NA,NA,Loamy,NA,NA,NA,35,244,3-late
2016_26W_AGM_CARM_15,2016,Hilltank,26W,CARM,CARM,15,2016-09-01T00:00:00Z,5,5.28,58.07,11,1.12,0.18,NA,NA,Loamy,NA,NA,NA,35,244,3-late
2016_7NW_TGM_TRM_15,2016,NA,7NW,TRM,TRM,15,2016-09-01T00:00:00Z,5,7.95,62.4,7.8,1,0.03,NA,NA,Mixed,NA,NA,NA,35,244,3-late
2016_26W_AGM_CARM_16,2016,Hilltank,26W,CARM,CARM,16,2016-09-06T00:00:00Z,5,6.87,56.87,8.3,1,0.26,NA,NA,Loamy,NA,NA,NA,36,249,3-late
2016_26E_TGM_Paired TRM_16,2016,NA,26E,TRM,Paired TRM,16,2016-09-06T00:00:00Z,5,8.27,58.15,7,1.18,0.24,NA,NA,Loamy,NA,NA,NA,36,249,3-late
2016_15E_TGM_TRM_16,2016,NA,15E,TRM,TRM,16,2016-09-06T00:00:00Z,5,7.46,61.67,8.3,1.37,0.15,NA,NA,Loamy,NA,NA,NA,36,249,3-late
2016_19N_TGM_TRM_16,2016,NA,19N,TRM,TRM,16,2016-09-06T00:00:00Z,5,7.07,61.78,8.7,1.26,0.18,NA,NA,Sandy,NA,NA,NA,36,249,3-late
2016_7NW_TGM_TRM_16,2016,NA,7NW,TRM,TRM,16,2016-09-06T00:00:00Z,5,6.95,63.68,9.2,1.21,0.1,NA,NA,Mixed,NA,NA,NA,36,249,3-late
2016_15E_TGM_TRM_17,2016,NA,15E,TRM,TRM,17,2016-09-14T00:00:00Z,6,5.54,62.32,11.2,1.14,0.1,NA,NA,Loamy,NA,NA,NA,37,257,3-late
2016_18S_AGM_CARM_17,2016,Snowfence,18S,CARM,CARM,17,2016-09-14T00:00:00Z,6,5.75,65.85,11.5,1.19,0.04,NA,NA,Sandy,NA,NA,NA,37,257,3-late
2016_19N_TGM_Paired TRM_17,2016,NA,19N,TRM,Paired TRM,17,2016-09-14T00:00:00Z,6,6.13,60.66,9.9,1.22,0.21,NA,NA,Sandy,NA,NA,NA,37,257,3-late
2016_7NW_TGM_TRM_17,2016,NA,7NW,TRM,TRM,17,2016-09-14T00:00:00Z,6,7.87,62.89,8,0.89,0.02,NA,NA,Mixed,NA,NA,NA,37,257,3-late
2016_15E_TGM_TRM_18,2016,NA,15E,TRM,TRM,18,2016-09-20T00:00:00Z,6,7.33,57.05,7.8,0.99,0.18,NA,NA,Loamy,NA,NA,NA,38,263,3-late
2016_18S_AGM_CARM_18,2016,Snowfence,18S,CARM,CARM,18,2016-09-20T00:00:00Z,6,6.11,63.21,10.3,0.72,0.03,NA,NA,Sandy,NA,NA,NA,38,263,3-late
2016_19N_TGM_Paired TRM_18,2016,NA,19N,TRM,Paired TRM,18,2016-09-20T00:00:00Z,6,5.6,63.18,11.3,1.26,0.08,NA,NA,Sandy,NA,NA,NA,38,263,3-late
2016_7NW_TGM_TRM_18,2016,NA,7NW,TRM,TRM,18,2016-09-20T00:00:00Z,6,5.44,62.3,11.5,0.8,0.01,NA,NA,Mixed,NA,NA,NA,38,263,3-late
2016_15E_TGM_TRM_19,2016,NA,15E,TRM,TRM,19,2016-09-29T00:00:00Z,7,6.74,59.65,8.9,0.91,0.14,NA,NA,Loamy,NA,NA,NA,39,272,3-late
2016_19N_TGM_TRM_19,2016,NA,19N,TRM,TRM,19,2016-09-29T00:00:00Z,7,6.05,62.72,10.4,0.81,0.02,NA,NA,Sandy,NA,NA,NA,39,272,3-late
2016_7NW_TGM_Paired TRM_19,2016,NA,7NW,TRM,Paired TRM,19,2016-09-29T00:00:00Z,7,6.44,60.82,9.4,0.87,0.03,NA,NA,Mixed,NA,NA,NA,39,272,3-late
2016_7SE_AGM_CARM_19,2016,Headquarters,7SE,CARM,CARM,19,2016-09-29T00:00:00Z,7,7.11,60.87,8.6,0.74,0.04,NA,NA,Mixed,NA,NA,NA,39,272,3-late
2017_18S_AGM_CARM_1,2017,Snowfence,18S,CARM,CARM,1,2017-05-22T00:00:00Z,1,8.43,66.15,7.8,1.86,0.13,NA,NA,Sandy,142,0,NA,21,141,1-early
2017_15E_TGM_TRM_1,2017,NA,15E,TRM,TRM,1,2017-05-22T00:00:00Z,1,10.22,65.75,6.4,1.64,0.14,NA,NA,Loamy,142,0,NA,21,141,1-early
2017_19N_TGM_Paired TRM_1,2017,NA,19N,TRM,Paired TRM,1,2017-05-22T00:00:00Z,1,12.07,67.18,5.6,2.11,0.44,NA,NA,Sandy,142,0,NA,21,141,1-early
2017_7NW_TGM_TRM_1,2017,NA,7NW,TRM,TRM,1,2017-05-22T00:00:00Z,1,10.64,66.39,6.2,1.95,0.32,NA,NA,Mixed,142,0,NA,21,141,1-early
2017_18S_AGM_CARM_2,2017,Snowfence,18S,CARM,CARM,2,2017-05-26T00:00:00Z,1,8.52,65.8,7.7,1.63,0.09,NA,NA,Sandy,146,0.508,NA,21,145,1-early
2017_15E_TGM_TRM_2,2017,NA,15E,TRM,TRM,2,2017-05-26T00:00:00Z,1,11.04,67.87,6.1,2.22,0.24,NA,NA,Loamy,146,0.508,NA,21,145,1-early
2017_19N_TGM_Paired TRM_2,2017,NA,19N,TRM,Paired TRM,2,2017-05-26T00:00:00Z,1,11.86,65.64,5.5,2.25,0.45,NA,NA,Sandy,146,0.508,NA,21,145,1-early
2017_7NW_TGM_TRM_2,2017,NA,7NW,TRM,TRM,2,2017-05-26T00:00:00Z,1,10.09,65.94,6.5,2.04,0.32,NA,NA,Mixed,146,0.508,NA,21,145,1-early
2017_18S_AGM_CARM_3,2017,Snowfence,18S,CARM,CARM,3,2017-06-01T00:00:00Z,1,9.13,64.37,7.1,1.59,0.05,NA,NA,Sandy,152,8.382,NA,22,151,1-early
2017_15E_TGM_TRM_3,2017,NA,15E,TRM,TRM,3,2017-06-01T00:00:00Z,1,11.7,67.85,5.8,2.31,0.36,NA,NA,Loamy,152,8.382,NA,22,151,1-early
2017_19N_TGM_Paired TRM_3,2017,NA,19N,TRM,Paired TRM,3,2017-06-01T00:00:00Z,1,13.5,66.7,4.9,2.49,0.53,NA,NA,Sandy,152,8.382,NA,22,151,1-early
2017_7NW_TGM_TRM_3,2017,NA,7NW,TRM,TRM,3,2017-06-01T00:00:00Z,1,11.97,67.86,5.7,2.27,0.4,NA,NA,Mixed,152,8.382,NA,22,151,1-early
2017_7SE_AGM_CARM_4,2017,Headquarters,7SE,CARM,CARM,4,2017-06-09T00:00:00Z,2,9.51,65.29,6.9,1.99,0.24,NA,NA,Mixed,160,7.112,NA,23,159,1-early
2017_15E_TGM_TRM_4,2017,NA,15E,TRM,TRM,4,2017-06-09T00:00:00Z,2,10.86,66.28,6.1,2.4,0.21,NA,NA,Loamy,160,7.112,NA,23,159,1-early
2017_19N_TGM_TRM_4,2017,NA,19N,TRM,TRM,4,2017-06-09T00:00:00Z,2,12.9,67.22,5.2,2.2,0.54,NA,NA,Sandy,160,7.112,NA,23,159,1-early
2017_7NW_TGM_Paired TRM_4,2017,NA,7NW,TRM,Paired TRM,4,2017-06-09T00:00:00Z,2,12.25,67.35,5.5,2.46,0.4,NA,NA,Mixed,160,7.112,NA,23,159,1-early
2017_7SE_AGM_CARM_5,2017,Headquarters,7SE,CARM,CARM,5,2017-06-16T00:00:00Z,2,10.95,66.14,6,2.48,0.51,NA,NA,Mixed,167,13.462,NA,24,166,1-early
2017_15E_TGM_TRM_5,2017,NA,15E,TRM,TRM,5,2017-06-16T00:00:00Z,2,11.23,66.71,5.9,2.52,0.42,NA,NA,Loamy,167,13.462,NA,24,166,1-early
2017_19N_TGM_TRM_5,2017,NA,19N,TRM,TRM,5,2017-06-16T00:00:00Z,2,11.73,68.1,5.8,2.46,0.63,NA,NA,Sandy,167,13.462,NA,24,166,1-early
2017_7NW_TGM_Paired TRM_5,2017,NA,7NW,TRM,Paired TRM,5,2017-06-16T00:00:00Z,2,11.88,68.06,5.7,2.46,0.52,NA,NA,Mixed,167,13.462,NA,24,166,1-early
2017_7SE_AGM_CARM_6,2017,Headquarters,7SE,CARM,CARM,6,2017-06-21T00:00:00Z,2,6.41,63.92,10,1.81,0.06,NA,NA,Mixed,172,0,NA,25,171,1-early
2017_15E_TGM_TRM_6,2017,NA,15E,TRM,TRM,6,2017-06-21T00:00:00Z,2,10.07,65.1,6.5,2.35,0.38,NA,NA,Loamy,172,0,NA,25,171,1-early
2017_19N_TGM_TRM_6,2017,NA,19N,TRM,TRM,6,2017-06-21T00:00:00Z,2,11.53,67.15,5.8,2.53,0.77,NA,NA,Sandy,172,0,NA,25,171,1-early
2017_7NW_TGM_Paired TRM_6,2017,NA,7NW,TRM,Paired TRM,6,2017-06-21T00:00:00Z,2,10.2,64.94,6.4,1.99,0.48,NA,NA,Mixed,172,0,NA,25,171,1-early
2017_10S_AGM_CARM_7,2017,Nighthawk,10S,CARM,CARM,7,2017-06-30T00:00:00Z,3,9.01,66.69,7.4,1.69,0.12,NA,NA,Loamy,180,2.5399999999999996,NA,26,180,2-middle
2017_15E_TGM_Paired TRM_7,2017,NA,15E,TRM,Paired TRM,7,2017-06-30T00:00:00Z,3,9.69,64.31,6.6,2.13,0.3,NA,NA,Loamy,180,2.5399999999999996,NA,26,180,2-middle
2017_19N_TGM_TRM_7,2017,NA,19N,TRM,TRM,7,2017-06-30T00:00:00Z,3,10.18,65.42,6.4,1.83,0.53,NA,NA,Sandy,180,2.5399999999999996,NA,26,180,2-middle
2017_7NW_TGM_TRM_7,2017,NA,7NW,TRM,TRM,7,2017-06-30T00:00:00Z,3,8.3,63.61,7.7,1.64,0.35,NA,NA,Mixed,180,2.5399999999999996,NA,26,180,2-middle
2017_10S_AGM_CARM_8,2017,Nighthawk,10S,CARM,CARM,8,2017-07-07T00:00:00Z,3,7.19,63.06,8.8,1.37,0.01,NA,NA,Loamy,188,16.764,NA,27,187,2-middle
2017_15E_TGM_Paired TRM_8,2017,NA,15E,TRM,Paired TRM,8,2017-07-07T00:00:00Z,3,10.13,63.74,6.3,2.14,0.34,NA,NA,Loamy,188,16.764,NA,27,187,2-middle
2017_19N_TGM_TRM_8,2017,NA,19N,TRM,TRM,8,2017-07-07T00:00:00Z,3,10.14,64.24,6.3,2.07,0.62,NA,NA,Sandy,188,16.764,NA,27,187,2-middle
2017_7NW_TGM_TRM_8,2017,NA,7NW,TRM,TRM,8,2017-07-07T00:00:00Z,3,9.96,65.26,6.6,1.8,0.37,NA,NA,Mixed,188,16.764,NA,27,187,2-middle
2017_10S_AGM_CARM_9,2017,Nighthawk,10S,CARM,CARM,9,2017-07-12T00:00:00Z,3,7.22,62.85,8.7,1.33,0.07,NA,NA,Loamy,193,0,NA,28,192,2-middle
2017_15E_TGM_Paired TRM_9,2017,NA,15E,TRM,Paired TRM,9,2017-07-12T00:00:00Z,3,8.82,64.01,7.3,1.64,0.24,NA,NA,Loamy,193,0,NA,28,192,2-middle
2017_19N_TGM_TRM_9,2017,NA,19N,TRM,TRM,9,2017-07-12T00:00:00Z,3,8.53,64.62,7.6,1.56,0.45,NA,NA,Sandy,193,0,NA,28,192,2-middle
2017_7NW_TGM_TRM_9,2017,NA,7NW,TRM,TRM,9,2017-07-12T00:00:00Z,3,8.15,63.52,7.8,1.69,0.27,NA,NA,Mixed,193,0,NA,28,192,2-middle
2017_21N_AGM_CARM_10,2017,Highway,21N,CARM,CARM,10,2017-07-19T00:00:00Z,4,8.1,64.97,8,1.46,0.01,NA,NA,Loamy,200,0,NA,29,199,2-middle
2017_15E_TGM_TRM_10,2017,NA,15E,TRM,TRM,10,2017-07-19T00:00:00Z,4,9.51,63.65,6.7,1.81,0.1,NA,NA,Loamy,200,0,NA,29,199,2-middle
2017_19N_TGM_TRM_10,2017,NA,19N,TRM,TRM,10,2017-07-19T00:00:00Z,4,9.55,64.66,6.8,1.93,0.56,NA,NA,Sandy,200,0,NA,29,199,2-middle
2017_24W_TGM_Paired TRM_10,2017,NA,24W,TRM,Paired TRM,10,2017-07-19T00:00:00Z,4,9.8,65.55,6.7,1.5,0.16,NA,NA,Loamy,200,0,NA,29,199,2-middle
2017_7NW_TGM_TRM_10,2017,NA,7NW,TRM,TRM,10,2017-07-19T00:00:00Z,4,7.82,61.62,7.9,1.77,0.28,NA,NA,Mixed,200,0,NA,29,199,2-middle
2017_25NW_AGM_CARM_11,2017,Crossroads,25NW,CARM,CARM,11,2017-07-26T00:00:00Z,5,8.78,63.69,7.3,1.48,0.18,NA,NA,Mixed,207,0,NA,30,206,2-middle
